id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1759266,Lakeview / Lincoln Park Vintage,9249272,Mark,,Lake View,41.93396,-87.65897,Entire home/apt,207,2,47,2021-10-17,0.52,1,307,13,C17000012380
1759389,Casa Corazón (W) near Rush / UIC,1559157,Amanda,,Lower West Side,41.84801,-87.68127,Private room,75,2,129,2021-11-22,1.30,3,365,9,R20000054162
1769731,1 Bedroom Across from Wrigley Field MVP Suite,9297431,Inn At Wrigleyville,,Lake View,41.94747,-87.65417,Entire home/apt,279,1,6,2021-10-17,1.10,6,132,6,2446867
1772920,3 Bedroom Across from Wrigley Field AllStar Suite,9297431,Inn At Wrigleyville,,Lake View,41.94842,-87.65307,Entire home/apt,379,1,9,2021-11-27,0.09,6,136,7,2446868
1773021,4 Bedroom Across from Wrigley Field Stadium Suite,9297431,Inn At Wrigleyville,,Lake View,41.94774,-87.65421,Entire home/apt,479,1,15,2021-12-05,1.86,6,130,15,2446868
1773025,4 Bedroom Across from Wrigley Field Legend Suite,9297431,Inn At Wrigleyville,,Lake View,41.9475,-87.6542,Entire home/apt,479,1,10,2021-11-21,1.24,6,131,10,2446867
1810118,LARGE Private 1BR/Full Bath near U of Chicago,9483312,Ryan,,Woodlawn,41.77738,-87.60041,Private room,69,4,342,2021-11-11,3.59,2,153,12,R17000015592
1837153,Musician's Quarters,9601147,Chester,,Hyde Park,41.79989,-87.59432,Entire home/apt,115,3,56,2021-11-27,0.58,1,355,9,City registration pending
1852665,BIG LOFT Location RIVER WEST Brick,3965428,Rob,,Near West Side,41.88593,-87.64885,Entire home/apt,140,60,0,,,88,365,0,
1854000,Elegant Lakefront Near Wrigley Field Lake Michigan,9471604,James,,Lincoln Park,41.93264,-87.64311,Entire home/apt,239,1,154,2020-09-20,1.59,1,365,0,R93749978238
1921670,The Avondale Garden Suite,9959757,Jedidiah,,Avondale,41.94663,-87.70783,Entire home/apt,69,2,268,2021-11-30,3.22,5,219,19,R18000036958
1944802,High Floor South Loop GYM POOL,3965428,Rob,,Near South Side,41.85487,-87.62024,Entire home/apt,200,60,14,2016-10-15,0.15,88,365,0,City registration pending
1954633,Lincoln Park/DePaul  - Private room & bathroom,3217364,Mary Kay,,Lincoln Park,41.9308,-87.65844,Private room,100,1,185,2021-09-03,2.00,1,0,2,R21000074927
1960332,Admire Colorful Art at an Eclectic Wrigleyville Home,10129776,Teri,,Lake View,41.94432,-87.65988,Entire home/apt,311,3,18,2021-11-14,0.43,5,38,6,R21000062121
1964520,Month to Month Your Home Away from Home,10129776,Teri,,Lake View,41.94993,-87.66173,Entire home/apt,209,3,45,2021-12-12,0.79,5,38,14,City of Chicago License #2209314
1965410,Wrigleyville Gem-Eclectic Artsy Style You'll Love!,10129776,Teri,,Lake View,41.94943,-87.66129,Entire home/apt,311,3,46,2021-11-28,0.69,5,38,9,R21000062139
1984545,Mansion in Bronzeville,4010906,Bobbie,,Grand Boulevard,41.81961,-87.61324,Entire home/apt,475,35,4,2017-06-06,0.05,8,352,0,2255946
2011301,Bucktown - Great Northside Location,5166793,Carrie & Brad,,Logan Square,41.92118,-87.68678,Private room,54,1,227,2021-11-06,2.33,2,82,28,R18000037035
2012443,Great space in hip neighborhood!,7245979,Jason,,West Town,41.89278,-87.66131,Private room,36,3,188,2020-03-18,2.07,1,121,0,R17000013570
2062638,Downtown Urban Oasis 3BR + Huge Deck & Parking!,1876597,The Adventurers,,West Town,41.89821,-87.6572,Entire home/apt,182,2,162,2021-11-22,1.67,2,352,14,2510880
2139407,Urban Farm Fun!  Walk to Metra/CTA,10917550,Nicky,,Humboldt Park,41.88849,-87.70648,Entire home/apt,80,1,479,2021-11-28,4.97,4,337,43,City registration pending
2189522,Casa Corazón (E) near Rush / UIC,1559157,Amanda,,Lower West Side,41.84828,-87.68021,Private room,75,2,154,2021-11-27,1.64,3,344,15,R20000054162
2298310,"Hyde Park / Kenwood, U of Chicago. Free bike.",1385332,Patt,,Kenwood,41.80239,-87.60244,Private room,38,2,31,2021-10-10,0.33,13,267,10,R21000072908
2305194,Wrigley Hostel - 4 Bed Private Room,7391164,Wrigley Hostel,,Lake View,41.94594,-87.65431,Private room,128,1,57,2021-10-25,0.61,6,365,2,2245608
2305230,Wrigley Hostel - 10 Bed Shared Room,7391164,Wrigley Hostel,,Lake View,41.94594,-87.65431,Shared room,33,1,341,2021-11-22,4.00,6,365,31,2245608
2320027,Carriage House in Wicker Park,11848299,Anton,,West Town,41.90798,-87.68158,Entire home/apt,128,21,163,2021-10-26,1.71,2,48,5,R12345678901
2396340,"Unique, Handcrafted Art Gallery Condo in River West Chicago",5228189,Matthew,,West Town,41.89634,-87.65608,Entire home/apt,210,1,416,2021-11-28,4.41,17,343,37,2385048
2437230,City Hideaway,7000138,Brock & Kim,,North Center,41.94272,-87.68409,Entire home/apt,206,2,84,2021-11-28,0.92,1,180,4,R17000013482
2453598,FULTON/RIVER NORTH MODERN LUXURY,3965428,Rob,,Near West Side,41.88786,-87.64321,Entire home/apt,150,60,7,2018-05-29,0.08,88,365,0,City registration pending
2458029,2nd bedroom for rent,12568368,Deirdre,,Lake View,41.93312,-87.64661,Private room,113,1,18,2021-09-26,0.20,1,305,2,R21000070008
2459132,Conveniently Located!,12059561,Rick,,Portage Park,41.96703,-87.75087,Private room,325,2,67,2017-05-21,0.73,1,87,0,City registration pending
2471876,Bright&Modern Condo in the Heart of the Best Loop,6169870,Bora,,Near West Side,41.88209,-87.65127,Entire home/apt,131,5,46,2021-11-29,0.52,1,58,9,City registration pending
2473938,Art studio + house in one,12653262,Stephanie,,Lower West Side,41.84949,-87.68055,Private room,65,31,128,2019-11-11,1.36,2,163,0,R17000014297
2479175,Cozy Garden-Subterranean Apartment,12681444,Jenny,,Lincoln Square,41.96316,-87.69208,Entire home/apt,81,2,206,2021-12-13,2.21,1,121,26,R17000017830
2487272,U of C Hospital/Campus Rooms,12728248,Judy,,Hyde Park,41.79777,-87.58943,Private room,60,10,5,2021-11-26,0.12,4,62,2,R17000018647
2496594,Chicago MostWanted LOCATION Mag Mil,3965428,Rob,,Near North Side,41.89021,-87.62179,Entire home/apt,140,31,4,2014-11-05,0.04,88,365,0,City registration pending
2499596,Vintage Apartment in the Heart of the Ukrainian Village,2768314,Jason,,West Town,41.90006,-87.68096,Entire home/apt,153,10,160,2021-12-05,1.70,1,163,6,R17000013566
